"","Sample","Exp1","Exp2"
"1",8759333,-12.3561988674935,-15.0080003760886
"2",7784882,14.453886857517,12.0073598606112
"3",8142062,-1.31245283590841,4.35846750806103
"4",5400115,16.5828485068449,21.6996182842003
"5",5247444,8.52054916394682,6.97427973061543
"6",9084783,7.2318574666715,9.56247917698794
"7",6892322,18.4520609766756,12.3303387933468
"8",9313232,-1.54372969394325,-7.89466328099328
"9",9316633,-3.82124971356531,-1.46442306627925
"10",2880580,4.98249185504415,2.8661041929349
"11",5406540,-3.9070821404262,-1.36283252578252
"12",5761343,-12.9855936394444,-14.1314858566235
"13",1847850,-20.9845215859236,-16.8102879962369
"14",7626942,-14.6993692932568,-16.9504281012128
"15",2695496,9.4611722344396,11.8580091876617
"16",3352986,-17.2545084302918,-16.4690228405761
"17",4073122,-1.73500095424039,-3.82962098956062
"18",8671748,7.56212164871134,9.58974768356205
"19",3777700,10.3344984096031,10.4302798039475
"20",3567761,-14.4495244308018,-15.2315629542969
"21",9036951,1.6062215325618,-1.40548878877046
"22",3209981,-11.1249578707211,-7.92170406686839
"23",2631138,-13.69836952323,-11.195397944289
"24",3836811,1.78856904090408,3.92828576217129
"25",7928033,-4.74026849635461,-1.89323326171031
"26",9669295,13.9966724993746,15.9312444845379
"27",1707657,18.2214301365582,22.5018936727373
"28",2100595,-5.19225408303809,-4.48476461075845
"29",2959974,16.2805405264355,11.6236096215708
"30",3281811,9.45178223705216,17.4463702017047
"31",6178265,6.3172833780945,8.73134348589533
"32",7668370,13.2330377059593,14.502966244504
"33",1326307,4.59995342716995,-2.4035113560186
"34",6050390,-9.85436397508091,-13.7418538979151
"35",2720213,8.2080585946377,12.9485808651781
"36",8120625,-10.714612501568,-0.237101938126355
"37",1915863,-7.85518020928161,-1.67799809926448
"38",2123756,13.6617765776075,7.00770421809156
"39",6158054,2.47959128199599,8.46662486452607
"40",4121206,5.56830287750844,-3.32518978955389
"41",5929562,-5.89674406874379,-10.6263934697134
"42",3072800,15.8002841219213,15.9160718217149
"43",1514464,-7.43301906068516,-2.28271622652532
"44",4631199,10.9601528712431,14.0068548966114
"45",2365584,8.89412403315779,4.40846863607634
"46",2655502,-1.98575237688797,-5.75886302546232
"47",5818106,-11.6740568055646,-11.3669512384578
"48",2535939,11.5374834250513,9.08695827619316
"49",7534533,-7.23576431221558,-4.10728377363758
"50",5445187,10.5903809617718,14.652574907248
"51",5520524,8.8003169368348,13.8476338186106
"52",9467043,22.416088557579,16.8729490485051
"53",3327541,-8.72543635732491,3.12704358356828
"54",8554570,-0.781161738945905,-10.5079909423874
"55",6531092,10.1994895910321,4.69053053701481
"56",6801126,-10.7287023390075,-5.92132380765136
"57",8036537,0.112241096112032,8.83418703320257
"58",7274947,-6.92544122352546,-18.5313926098519
"59",3436817,-2.41960616864661,-0.316924468134024
"60",1096605,-14.5697528518681,-14.7531040906898
"61",1055850,19.7539601670234,17.6718976372539
"62",4223040,-10.2598539622104,-9.5863586293037
"63",2432207,-4.7848441212198,2.33603633162281
"64",9524462,-23.1147562574891,-18.0332726960065
"65",8647954,2.23015256717648,-6.02369130114993
"66",6143952,14.4061309010897,14.0274628030615
"67",3666882,-0.434318118423225,-5.60623511105156
"68",1324762,-21.259986105873,-21.5216502012103
"69",5404552,-6.09829171418728,-17.1827236876378
"70",6836722,-10.2627313523331,-1.07625789655551
"71",3501421,-13.4804765521262,-16.9676309697671
"72",6231623,0.914204665162834,-5.97579816094532
"73",9282450,-13.0217662097955,-4.85539911055045
"74",1610304,9.58806095820151,-0.13347637021051
"75",8886375,13.1503092893526,15.5616575659129
"76",4816125,-2.03209673926063,-1.52286583506805
"77",4386676,-2.02553826644883,-3.6327308190719
"78",1215674,4.95617234697905,2.21620543207375
"79",1906032,-5.87104175940429,0.0463976658586878
"80",7136248,-3.88765228022701,-2.08319362184812
"81",3505532,-6.83008378773496,-12.6986587753793
"82",1080891,-10.7843061978092,-21.1087034465296
"83",6648256,-7.22608154804696,-8.74094328757118
"84",6276543,-1.95066350457534,-6.26193552984439
"85",9035724,14.8279078144517,14.306058862155
"86",9044191,20.5719443069944,21.9711049452075
"87",6488212,7.12501949718199,8.76937604858083
"88",9804829,-10.1858135111646,-9.96799524655461
"89",6281563,-6.82781990472629,-4.40546116201377
"90",4916059,22.6855978091069,19.2240373775801
"91",3080702,-10.3956293960458,-10.3134775168515
"92",6139841,-15.0306091878519,-19.0505189880653
"93",7863053,-7.43776172767433,-15.7792558806624
"94",6715482,-21.3680698064609,-18.0731885129807
"95",3844288,-3.71433714153743,-2.98649298043843
"96",9990843,-9.04481486474052,-2.91803445794417
"97",4004718,14.5441141228115,14.406101368062
"98",3778005,4.4884319999763,1.46828858746178
"99",9705203,11.2756221504479,18.7458417437814
"100",6408283,-6.34377534238676,-6.5883472984414
"101",9813458,-7.47421247543822,-10.7381241473579
"102",3842130,-0.391574483878546,2.31967523065028
"103",2453510,-5.1878697297345,-7.31879743300075
"104",1070754,8.65514859588044,4.94912922603976
"105",2701134,16.7550117605134,14.7326676859204
"106",4626014,-8.72175750237056,-7.21600693758869
"107",1782218,12.9136414023778,4.02283649464828
"108",2622099,0.433182719978999,6.55013303434019
"109",4947196,-16.1973899047564,-18.7519042378633
"110",5454378,3.52623807868432,10.5849489413039
"111",3355860,11.7763266809912,17.8231329712481
"112",1897342,13.6963591449727,7.91575705352954
"113",2533016,7.54797577915046,11.0559416988596
"114",2110638,-16.7174409534658,-28.3749161342818
"115",1581886,5.80317965637663,5.22413543113796
"116",8657528,9.24690829809511,17.0962056771638
"117",1704881,-9.54893182742117,-5.48735224905907
"118",6471759,-19.2206381162925,-17.3104184028371
"119",3009451,7.77831596550024,6.82071998533473
"120",9180875,8.31506467179171,13.6089370157404
"121",8637908,15.8174236302205,17.6505562504837
"122",6460746,14.2627230099734,9.51230990421771
"123",8906127,-21.3080670331458,-22.0474453062039
"124",4347121,-13.2868701597046,-10.8614974871553
"125",8335851,-10.371498806369,-9.52289063988212
"126",7522496,-10.5497563893993,-0.392259562699205
"127",2365138,14.1872584782066,11.9315355779536
"128",9136258,4.95448572885824,-0.334741875273214
"129",3091257,-4.40207797935105,-1.15800556184865
"130",6299797,5.72104259088236,3.38397874743407
"131",8012633,-14.3058355716334,-13.8109142093389
"132",3525415,-15.0901814150336,-15.6730888101356
"133",3862256,12.3822630832504,9.48972500983746
"134",7298684,8.10564697445146,15.1117052294988
"135",8792721,-15.1090347631458,-13.2100588173306
"136",5880653,12.3562436406876,7.32697294539274
"137",5775810,2.09253260545197,0.323100193216442
"138",5526312,-8.10510695656684,-11.1297654958258
"139",4164455,-7.75248009980501,-2.20883158289551
"140",7136810,1.18549843614604,5.78828507146183
"141",9590031,-15.5422953260392,-16.0696582241945
"142",7587578,-16.9826335311715,-13.7487178388682
"143",2999439,-1.82423108358768,-4.53118234517913
"144",6087275,-1.04863236990515,-6.28905914738071
"145",4545020,-17.2265276385598,-8.11394473679581
"146",6949177,14.4363668815733,17.7005828440227
"147",6066460,-8.44136002857109,-10.1938790760982
"148",1765111,-3.20672363763219,1.9553119348023
"149",5839858,-4.30199684801276,-3.07256727208867
"150",6957057,8.7512475807951,14.2796293579434
"151",3757091,-15.7482295275553,-17.7085018229808
"152",5109654,12.5854042094517,8.50268127408235
"153",2485538,-4.77528765146652,-7.05159652920798
"154",4522238,4.33675129289727,6.11639451239779
"155",2287968,10.554991975895,3.50049761945945
"156",8256606,-17.9400500072643,-12.7203961108043
"157",2813836,9.76215672673534,14.6776611573063
"158",1676010,14.0440668225097,22.3281865890858
"159",8383923,2.55248896973781,3.96900016711945
"160",5151790,11.5029977028907,18.1445074880495
"161",5431110,8.52804989743181,9.29926467188258
"162",6447464,12.2826427061768,9.38347894225062
"163",2255525,-0.781046113592087,-12.3610023918209
"164",7123822,0.938229033835887,5.61830837386564
"165",1333905,-13.4266978516292,-9.30634284198913
"166",5778778,-20.921498381408,-19.5766084898684
"167",6680485,18.3729564429213,13.8023663842782
"168",7274203,19.2690842023875,19.1347187038381
"169",1016717,-16.0833813513375,-14.3441048650901
"170",4179879,-11.1896921425715,-17.2441111426347
"171",5318193,-11.0838936297352,-13.1413778977638
"172",3583646,13.3482878288094,14.1056453736773
"173",4450929,-19.8324066059461,-15.6784440117127
"174",6763820,0.187885866215703,4.98223204645695
"175",7395684,-17.2563795180113,-17.4128824372432
"176",5525303,-10.971038709773,-7.98721234902076
"177",2558934,-7.01507297092754,-9.6310982035082
"178",3329447,16.7396390537404,14.0051743771898
"179",7530530,18.3514796602938,17.4143226722337
"180",6428971,-15.9313262452847,-11.7910747662682
"181",1886355,23.6333614689181,21.6284650892453
"182",5114569,9.26781482332602,14.512326434091
"183",1899939,9.41190843588096,14.4914285387405
"184",9269778,1.08900373231057,-0.828493321140094
"185",7059537,1.93401867594109,3.02516689848046
"186",4683388,-18.7847940708591,-22.0616838782195
"187",5148971,4.37956838580551,4.68262974311488
"188",6806081,10.664286757844,8.14667559139674
"189",6672161,9.16863738951099,7.75325688759937
"190",3921595,-6.39373728452593,-5.2584228893164
"191",7229376,18.0682380745794,11.2913786302242
"192",9366024,-5.64052604942753,-5.18017085879147
"193",3515616,13.5721831361152,10.9686929206142
"194",9586613,-14.2737775875737,-10.357510814906
"195",4423102,21.8991968050487,17.8198027376959
"196",8225530,-15.6560302055641,-17.126138805515
"197",2467470,-1.68267529037177,-6.65175666431771
"198",9632098,10.9952926789455,13.8673484496897
