Sample,Exp1,Exp2
5126755,1.3974148800318398,2.2745520016624816
4145256,0.002333930142619872,0.0026776110505988644
6997391,1.6657984267788528,3.503706116238213
4813504,1.2090107378232113,2.7855903977166228
8642343,2.53327286726396,3.1195886097855885
8459273,509.31924671888123,1418.4694631854638
4508100,21.15085370156585,43.033576469093944
6304480,0.013880997401986886,0.010555576730904305
3481858,670.011540929835,731.9083903763236
4810497,0.1359854614837572,0.329751208187738
6212554,27.121039642274727,34.61157115022393
5966355,0.003905996981637471,0.005763654793043319
8986813,0.006068715340706269,0.008032721226746017
5386931,0.08549458555847074,0.11734608503484514
1610510,0.060146405677740954,0.031950409155409754
2761493,0.4268103923061615,0.3083258895101148
1915244,320.72446475538385,456.5309175739576
8534915,272.17828803588566,256.2761313637779
8845157,0.8797213004265407,1.8047714176582443
6384501,968.381077618434,340.85072603276154
2216512,2.1730934679131346,0.93039713154137
4948506,3.693492893276131,7.056333212174809
9427145,1.273872869625595,1.0403478817794343
2260220,0.0019783062672957628,0.0021915840241125656
4222464,36.805102556129434,64.76625187698968
4246231,417.60918747840566,1121.812713934805
3153712,195.1249644062754,221.67897956881774
1099117,12.709241602168882,11.014890823489164
2256769,38.59449311256038,42.09449424677273
9737980,8.304509236509376e-4,0.0012007420668620262
8509348,0.002722761095305037,0.005168947311389397
4015301,0.017883379016571083,0.015064074326194856
