Sample,Exp1,Exp2
5216826,0.20329658489069036,0.2869584262276857
1891079,3.099206758164263,5.148649732555331
5803588,19.804706886210795,17.49331803287385
1184375,602.3330132258287,569.6953284713677
9460320,0.007094307935715991,0.005373655497011569
9495972,0.003235859957587912,0.002963660978533118
8467211,0.02978547604986244,0.03535860900062978
3766875,0.21293153244893112,0.5303715137937344
2919716,0.007234085026633287,0.011649603178923634
2210734,136.38073373551046,277.3575289210904
8573522,0.08958434936821363,0.10041245577370411
3196496,0.043129050438207084,0.03424104085614143
4053562,1.2570701320981295,0.9522449608300771
8051241,1.3676143360607091,1.681867274176089
4237943,1.255462005705065,1.5002696500036583
5294055,0.0019807647431155113,0.0023934032306207995
4372266,1536.4368467077907,784.673655103789
7210673,0.9948041829906604,0.7522132740328905
7205409,0.18509286765808095,0.18581174046419036
5525398,133.1281161167674,241.689508444177
7353693,7.817541163126811e-4,0.0016387646060373223
1824234,21.153584037359202,33.44233599218113
4773106,221.58595599830744,366.2751895232497
7544158,0.6078090967924688,0.7837414033566205
7752915,8.437992708641557,12.94797446423793
1289623,0.008517161837885697,0.006134392197740749
2648412,0.010272342935138266,0.004319508891493279
3410443,155.38038369523306,122.7077746653471
7742763,0.002769921927172415,0.002824497347683677
7248827,0.007703391304560921,0.014327054971428927
1568986,436.4882853501431,760.5331484856969
6580533,0.0019729221945045095,0.002473137898351546
